warning_type,variable_name,source_table,excel_row,detail
same_row_multiple_sources,bank_cnt_90d,"pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final, pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature",73,同一 Excel 行包含多个来源表，默认全部保留
same_row_multiple_sources,top1_inst_query_ratio_180d,"pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final, pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature",143,同一 Excel 行包含多个来源表，默认全部保留
same_row_multiple_sources,blacklist_cnt_180d,"pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final, pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature",272,同一 Excel 行包含多个来源表，默认全部保留
same_row_multiple_sources,bank_cnt_180d,"pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final, pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature",385,同一 Excel 行包含多个来源表，默认全部保留
same_variable_multiple_sources,payer_repay_cnt_360d_v2,"pb_ads_credit.direct_send_in_out_para_data_df, pb_ads_credit.ads_ng_risk_pp_cid_character_360d","44, 352",同一变量来自多张来源表，已按出现顺序生成版本别名，请人工核对口径
same_variable_multiple_sources,bank_cnt_90d,"pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final, pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature","73, 73",同一变量来自多张来源表，已按出现顺序生成版本别名，请人工核对口径
same_variable_multiple_sources,top1_inst_query_ratio_180d,"pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final, pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature","143, 143",同一变量来自多张来源表，已按出现顺序生成版本别名，请人工核对口径
same_variable_multiple_sources,blacklist_cnt_180d,"pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final, pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature","272, 272",同一变量来自多张来源表，已按出现顺序生成版本别名，请人工核对口径
same_variable_multiple_sources,bank_cnt_180d,"pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final, pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature","385, 385",同一变量来自多张来源表，已按出现顺序生成版本别名，请人工核对口径
